ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE,ZIP,TRACT,RES_RATIO,DATE
,,,,94103,6075020100.0,0.1306932795413526,2020-09-01,,,,
,,,,94105,6075061500.0,1.0,2020-09-01,,,,
,,,,94105,6075010500.0,0.0,2020-09-01,,,,
,,,,94107,6075018000.0,0.09642011983283823,2020-09-01,,,,
,,,,94107,6075022702.0,0.05825487135592367,2020-09-01,,,,
,,,,94107,6075022600.0,0.12426363224409646,2020-09-01,,,,
,,,,94107,6075060700.0,0.14168470872564323,2020-09-01,,,,
,,,,94107,6075061500.0,0.18020240672675092,2020-09-01,,,,
,,,,94107,6075022903.0,0.0,2020-09-01,,,,
,,,,94107,6075017802.0,0.03625195105986607,2020-09-01,,,,
,,,,94107,6075061400.0,0.1423392578420019,2020-09-01,,,,
,,,,94107,6075022802.0,5.0349932027591764e-05,2020-09-01,,,,
,,,,94107,6075022704.0,0.11812094053673028,2020-09-01,,,,
,,,,94107,6075010500.0,0.0,2020-09-01,,,,
,,,,94107,6075980900.0,0.019787523286843564,2020-09-01,,,,
,,,,94107,6075017801.0,0.08262423845727808,2020-09-01,,,,
,,,,94108,6075061100.0,0.12544148094020216,2020-09-01,,,,
,,,,94108,6075060100.0,0.0,2020-09-01,,,,
,,,,94108,6075011800.0,0.08853976373157958,2020-09-01,,,,
,,,,94108,6075011700.0,0.09328948970892705,2020-09-01,,,,
,,,,94108,6075011300.0,0.13250517598343686,2020-09-01,,,,
,,,,94108,6075010800.0,0.02533187187918646,2020-09-01,,,,
,,,,94108,6075012100.0,0.07148946535135793,2020-09-01,,,,
,,,,94108,6075011901.0,0.031177688466691025,2020-09-01,,,,
,,,,94108,6075011200.0,0.16429180367799293,2020-09-01,,,,
,,,,94108,6075011902.0,0.26793326026062597,2020-09-01,,,,
,,,,94109,6075013000.0,0.0029032601747283186,2020-09-01,,,,
,,,,94109,6075015500.0,0.03124334114638824,2020-09-01,,,,
,,,,94109,6075012201.0,0.07692307692307693,2020-09-01,,,,
,,,,94109,6075015900.0,0.014569571702535691,2020-09-01,,,,
,,,,94109,6075012100.0,0.04336245471979544,2020-09-01,,,,
,,,,94109,6075012302.0,0.020748987854251014,2020-09-01,,,,
,,,,94109,6075010200.0,0.07934689963775836,2020-09-01,,,,
,,,,94109,6075015100.0,0.054069891327509056,2020-09-01,,,,
,,,,94109,6075013102.0,0.044960579586618366,2020-09-01,,,,
,,,,94109,6075013101.0,0.06797357766886852,2020-09-01,,,,
,,,,94109,6075012202.0,0.04520029831664181,2020-09-01,,,,
,,,,94109,6075012402.0,0.024717664606861284,2020-09-01,,,,
