id,tents,structures,vehicles,year,month,date_time,lat,lon,neighborhood,geoid
233,0,0,01,2025,12,12/10/2025,37.73963205475441,-122.4000144660663,Apparel City,06075023001
234,1,0,00,2025,12,12/10/2025,37.73859890787961,-122.40233816175824,Apparel City,06075023001
235,0,1,00,2025,12,12/10/2025,37.738122002290936,-122.40672679305426,Apparel City,06075980900
236,0,0,01,2025,12,12/10/2025,37.73931816806017,-122.40691816439798,Apparel City,06075980900
237,0,0,70,2025,12,12/10/2025,37.74238795923048,-122.40516377245277,Apparel City,06075980900
238,1,3,23,2025,12,12/10/2025,37.74198803593896,-122.4046807584336,Apparel City,06075980900
239,0,0,02,2025,12,12/10/2025,37.73806754671403,-122.40400763306963,Apparel City,06075023001
240,0,0,01,2025,12,12/10/2025,37.736510164949046,-122.4042696744399,Apparel City,06075023001
241,0,0,01,2025,12,12/10/2025,37.741441804129785,-122.39964570703636,Produce Market,06075980900
242,0,0,01,2025,12,12/10/2025,37.74531771478794,-122.37644330201013,Central Waterfront,06075980900
243,0,0,01,2025,12,12/10/2025,37.74569676558936,-122.37823596976496,Central Waterfront,06075980900
244,2,0,00,2025,12,12/10/2025,37.74542639618755,-122.38663569775194,India Basin,06075980900
245,1,0,00,2025,12,12/10/2025,37.74794193835774,-122.38675299287529,Central Waterfront,06075980900
246,0,1,00,2025,12,12/10/2025,37.74642489610337,-122.38837366843889,Central Waterfront,06075980900
247,0,0,11,2025,12,12/10/2025,37.7512755689697,-122.38105696462908,Central Waterfront,06075980900
248,0,0,02,2025,12,12/10/2025,37.75237953814202,-122.38685856173727,Central Waterfront,06075980900
249,0,0,01,2025,12,12/10/2025,37.76026154582502,-122.38242676411141,Central Waterfront,06075022600
250,0,1,00,2025,12,12/10/2025,37.79427083531015,-122.39175940856533,Financial District,06075010500
251,0,1,00,2025,12,12/10/2025,37.809371793574726,-122.4168875784538,Fisherman's Wharf,06075010101
252,0,1,00,2025,12,12/11/2025,37.72050612728306,-122.41723734655274,McLaren Park,06075980501
253,0,0,01,2025,12,12/11/2025,37.722566507564736,-122.41797282704258,McLaren Park,06075980501
254,0,0,01,2025,12,12/11/2025,37.70892896097038,-122.48727509311759,Lakeshore,06075060400
255,0,0,01,2025,12,12/11/2025,37.71035409332867,-122.48824056682413,Lakeshore,06075060400
256,0,0,01,2025,12,12/11/2025,37.71052881355184,-122.48836041316855,Lakeshore,06075060400
257,0,0,01,2025,12,12/11/2025,37.71083593617328,-122.48843809482567,Lakeshore,06075060400
258,0,0,01,2025,12,12/11/2025,37.71134504355604,-122.48867361404622,Lakeshore,06075060400
259,0,0,01,2025,12,12/11/2025,37.71247459690913,-122.48982129260588,Lakeshore,06075060400
260,0,0,01,2025,12,12/11/2025,37.71254563715289,-122.48999210863643,Lakeshore,06075060400
261,0,0,01,2025,12,12/11/2025,37.7126851646681,-122.49022120698439,Lakeshore,06075060400
262,0,0,01,2025,12,12/11/2025,37.71274697336626,-122.49029046597761,Lakeshore,06075060400
263,0,0,01,2025,12,12/11/2025,37.71305221157691,-122.4906898651403,Lakeshore,06075060400
264,0,0,01,2025,12,12/11/2025,37.71298949735871,-122.49088893241255,Lakeshore,06075060400
265,0,0,01,2025,12,12/11/2025,37.71330415354581,-122.49110858822146,Lakeshore,06075060400
266,0,0,001,2025,12,12/11/2025,37.71350768196781,-122.49125662080036,Lakeshore,06075060400
267,0,0,01,2025,12,12/11/2025,37.713609889013775,-122.49146504692233,Lakeshore,06075060400
268,0,0,02,2025,12,12/11/2025,37.71385881259036,-122.49159905966675,Lakeshore,06075060400
269,0,0,01,2025,12,12/11/2025,37.71390504354573,-122.49184364280623,Lakeshore,06075060400
270,0,0,01,2025,12,12/11/2025,37.71419760321507,-122.49186136919941,Lakeshore,06075060400
271,0,0,02,2025,12,12/11/2025,37.714343225087234,-122.49198497386007,Lakeshore,06075060400
272,0,0,02,2025,12,12/11/2025,37.71471968274904,-122.49230195891253,Lakeshore,06075060400
273,0,0,01,2025,12,12/11/2025,37.71479221418996,-122.49233893115257,Lakeshore,06075060400
274,0,0,01,2025,12,12/11/2025,37.71499906908665,-122.49259643616168,Lakeshore,06075060400
275,0,0,01,2025,12,12/11/2025,37.7151379008641,-122.49271941453716,Lakeshore,06075060400
276,0,0,01,2025,12,12/11/2025,37.71518552925024,-122.49280652429802,Lakeshore,06075060400
277,0,0,01,2025,12,12/11/2025,37.71524734473407,-122.4928769806394,Lakeshore,06075060400
278,0,0,01,2025,12,12/11/2025,37.71535220386535,-122.4931224742759,Lakeshore,06075060400
279,0,0,02,2025,12,12/11/2025,37.71546551544639,-122.49326537706283,Lakeshore,06075060400
280,0,0,01,2025,12,12/11/2025,37.715601837061925,-122.4936810217269,Lakeshore,06075060400
