id,year,month,date_time,lat,lon,neighborhood,geoid
13452953,2021,2,2021-02-04 01:28:14,37.76620833,-122.41153667,Mission,06075017700
13376856,2021,1,2021-01-16 01:54:00,37.77639415179,-122.38997234859,Mission Bay,06075060701
13426204,2021,1,2021-01-28 06:05:00,37.7682252,-122.4292013,Duboce Triangle,06075016900
13390330,2021,1,2021-01-20 07:45:59,37.77097857879,-122.40882254121,Showplace Square,06075018000
13458486,2021,2,2021-02-05 05:51:06,37.76934303534,-122.45282476736,Haight Ashbury,06075016602
13464649,2021,2,2021-02-07 06:55:49,37.78130310642,-122.4052182634,South of Market,06075017602
13444897,2021,2,2021-02-02 02:56:00,37.75258138779,-122.41426644858,Mission,06075022901
13469140,2021,2,2021-02-08 06:13:00,37.79576873779,-122.40870666504,Chinatown,06075011300
13457549,2021,2,2021-02-05 02:26:00,37.78314971924,-122.42256164551,Cathedral Hill,06075016000
15207886,2022,4,2022-04-12 10:55:46,37.76611348987,-122.42860402045,Mission Dolores,06075020300
13427482,2021,1,2021-01-29 08:53:26,37.74809182514,-122.41166447101,Bernal Heights,06075025200
13385634,2021,1,2021-01-19 09:32:46,37.7490234375,-122.42370988192,Dolores Heights,06075021000
13460654,2021,2,2021-02-06 12:55:00,37.76395327197,-122.41524235384,Mission,06075017700
13378056,2021,1,2021-01-16 11:56:22,37.76967853851,-122.40614081488,Showplace Square,06075018000
13465685,2021,2,2021-02-08 08:28:00,37.75077438355,-122.44277954102,Upper Market,06075021200
13459537,2021,2,2021-02-06 07:57:10,37.78516462,-122.39411116,Rincon Hill,06075061503
13404435,2021,1,2021-01-23 12:44:47,37.78513361,-122.39420705,Rincon Hill,06075061503
13382912,2021,1,2021-01-18 02:27:49,37.79115512201,-122.40407314834,Financial District,06075011700
13395804,2021,1,2021-01-21 11:28:00,37.72646246,-122.40305565,Portola,06075025702
13460660,2021,2,2021-02-06 12:57:12,37.76379063923,-122.41622789321,Mission,06075017700
13420526,2021,1,2021-01-27 12:26:00,37.75028360688,-122.40280621924,Potrero Hill,06075061401
13403703,2021,1,2021-01-23 09:43:00,37.76403046599,-122.42859026775,Mission Dolores,06075020300
13445751,2021,2,2021-02-02 05:27:14,37.79043667,-122.42256167,Pacific Heights,06075013102
14020399,2021,7,2021-07-05 09:50:57,37.7792859447,-122.40117543654,South of Market,06075018000
13414916,2021,1,2021-01-26 10:30:00,37.72318267822,-122.43663787842,Cayuga,06075026100
13404092,2021,1,2021-01-23 11:13:30,37.721706,-122.455275,Ingleside,06075031201
13383014,2021,1,2021-01-18 02:52:35,37.76016535665,-122.42486253399,Mission Dolores,06075020702
13424153,2021,1,2021-01-28 11:29:00,37.774852,-122.4240036,Hayes Valley,06075016200
15214409,2022,4,2022-04-13 06:37:59,37.77411464274,-122.41973460966,South of Market,06075020101
13388511,2021,1,2021-01-19 03:26:00,37.79551315308,-122.42621612549,Pacific Heights,06075013101
15212556,2022,4,2022-04-13 12:22:00,37.7755404,-122.4229618,Hayes Valley,06075016200
13468843,2021,2,2021-02-08 04:40:00,37.80284238051,-122.406435907,Telegraph Hill,06075010402
13378371,2021,1,2021-01-17 08:26:50,37.78247993887,-122.42455485285,Cathedral Hill,06075015900
13455710,2021,2,2021-02-05 09:05:00,37.76069259644,-122.43826293945,Eureka Valley,06075020500
14479864,2021,10,2021-10-15 09:18:00,37.78564071655,-122.41799926758,Tenderloin,06075012202
13461198,2021,2,2021-02-06 03:28:12,37.78350332786,-122.42333885804,Cathedral Hill,06075016000
13434043,2021,1,2021-01-30 07:43:00,37.77466583252,-122.44787597656,Panhandle,06075016500
13426666,2021,1,2021-01-28 09:14:38,37.7794313,-122.493143,Outer Richmond,06075047801
13472773,2021,2,2021-02-09 03:00:00,37.78937530518,-122.41874694824,Lower Nob Hill,06075011102
13379953,2021,1,2021-01-17 04:13:00,37.79183578491,-122.41082000732,Nob Hill,06075011200
13456155,2021,2,2021-02-05 10:32:38,37.7836481,-122.4187182,Tenderloin,06075012406
13414096,2021,1,2021-01-26 08:09:02,37.77308615,-122.42092419,South of Market,06075020101
13423428,2021,1,2021-01-28 09:26:00,37.7832107544,-122.41165924072,Tenderloin,06075012502
13401739,2021,1,2021-01-22 04:23:59,37.7833984,-122.4161462,Tenderloin,06075012403
13403208,2021,1,2021-01-23 07:32:00,37.78363473405,-122.41930603912,Tenderloin,06075012406
13473599,2021,2,2021-02-09 06:12:00,37.74260833,-122.42031167,Bernal Heights,06075025300
13433983,2021,1,2021-01-30 06:52:57,37.755475,-122.41971666667,Mission,06075020801
15201404,2022,4,2022-04-10 07:55:00,37.78701873069,-122.41786882542,Lower Nob Hill,06075012203
13377083,2021,1,2021-01-16 02:52:52,37.7809489989,-122.44815826834,Lone Mountain,06075015701
13425266,2021,1,2021-01-28 02:32:00,37.72337341309,-122.39027404785,Bayview,06075023400
15217520,2022,4,2022-04-14 04:57:00,37.73088073731,-122.42613983154,Mission Terrace,06075025600
13392299,2021,1,2021-01-20 01:24:32,37.77525836719,-122.42401250943,Hayes Valley,06075016200
13422917,2021,1,2021-01-28 07:27:38,37.74335723,-122.39602055,Produce Market,06075980900
13454412,2021,2,2021-02-04 06:21:57,37.78628041,-122.39599608,South of Market,06075061503
13426714,2021,1,2021-01-28 09:28:51,37.7546498,-122.4072785,Mission,06075022802
15202527,2022,4,2022-04-11 09:28:00,37.73781561165,-122.50641138806,Parkside,06075035400
13374929,2021,1,2021-01-15 08:26:29,37.7434975,-122.3882353,Central Waterfront,06075980900
13423012,2021,1,2021-01-28 08:00:07,37.76320231281,-122.43517823324,Corona Heights,06075016900
13382355,2021,1,2021-01-18 12:31:40,37.78815134038,-122.42142071387,Lower Nob Hill,06075012001
13476194,2021,2,2021-02-10 12:33:55,37.7686499,-122.4117811,Mission,06075017700
13438780,2021,2,2021-02-01 11:06:00,37.7192874,-122.4183155,McLaren Park,06075980501
13463937,2021,2,2021-02-07 02:53:09,37.78286948077,-122.4209192104,Cathedral Hill,06075016000
13390201,2021,1,2021-01-20 06:56:18,37.78769016269,-122.39493752841,South of Market,06075061503
13416272,2021,1,2021-01-26 01:43:00,37.75624847412,-122.41987609863,Mission,06075020801
13454100,2021,2,2021-02-04 04:48:00,37.75550935248,-122.41974560353,Mission,06075020801
13378668,2021,1,2021-01-17 10:08:41,37.792866,-122.4220735,Polk Gulch,06075011001
13409502,2021,1,2021-01-25 08:46:09,37.78782093,-122.39509419,South of Market,06075061503
13377722,2021,1,2021-01-16 06:53:49,37.76370143448,-122.40459886733,Potrero Hill,06075022704
13463729,2021,2,2021-02-07 01:47:39,37.77776661798,-122.42354990926,Hayes Valley,06075016200
13462359,2021,2,2021-02-07 02:40:27,37.76974515166,-122.4054716,Showplace Square,06075018000
13985397,2021,6,2021-06-26 12:09:26,37.7745909,-122.4411243,Panhandle,06075016500
13437756,2021,2,2021-02-01 08:35:00,37.78366274204,-122.42260015581,Cathedral Hill,06075016000
13430179,2021,1,2021-01-29 04:37:56,37.78804216072,-122.39519326028,South of Market,06075061503
13376970,2021,1,2021-01-16 02:25:00,37.77340698242,-122.50682067871,Outer Richmond,06075047904
13409048,2021,1,2021-01-25 07:19:06,37.77322387695,-122.41984761243,South of Market,06075020101
