id,lat,lon,year_mon
532,37.716994918,-122.434203068,2020-09
533,37.773037538,-122.420091947,2024-09
534,37.779530959,-122.413542707,2024-09
535,37.772738909,-122.44833127,2022-02
536,37.777083316,-122.416979514,2023-07
537,37.719255105,-122.410517341,2023-08
538,37.776515956,-122.47856585,2021-11
539,37.713041059,-122.441795811,2023-10
540,37.743273142,-122.491903376,2020-08
541,37.76109715,-122.418263705,2022-06
542,37.774759785,-122.416457295,2024-06
543,37.78832457,-122.393911345,2024-11
544,37.778463386,-122.43685896,2020-11
545,37.776839383,-122.493175112,2022-05
546,37.790109944,-122.442497055,2024-10
547,37.752569794,-122.393134686,2024-10
548,37.763654746,-122.393765213,2021-10
549,37.783565477,-122.415051135,2021-01
550,37.720945032,-122.454032209,2020-01
551,37.758619593,-122.420179323,2023-12
552,37.785736789,-122.389124364,2021-06
553,37.780052504,-122.409773824,2020-11
554,37.782994299,-122.449287088,2024-08
555,37.78832457,-122.393911345,2022-08
556,37.785024662,-122.41197189,2023-10
557,37.772694134,-122.42218914,2020-03
558,37.77493769,-122.434457137,2024-09
559,37.764373209,-122.41747849,2022-04
560,37.717258953,-122.447343392,2024-12
561,37.779599353,-122.492750342,2024-04
562,37.765762128,-122.450691487,2021-08
563,37.798379262,-122.417512644,2023-03
564,37.787027218,-122.394922601,2022-08
565,37.795475652,-122.425889481,2021-06
566,37.782320195,-122.414028016,2021-08
567,37.772359929,-122.391397888,2022-08
568,37.803216047,-122.432514629,2021-09
569,37.786360792,-122.415616899,2022-03
570,37.771673234,-122.42214222,2023-05
571,37.774321951,-122.435106881,2020-06
572,37.786268442,-122.412997235,2023-04
573,37.788452159,-122.420326994,2021-05
574,37.778797888,-122.422520702,2024-04
575,37.776209593,-122.420316348,2022-03
576,37.77033415,-122.424521567,2021-05
577,37.774925831,-122.494105184,2022-04
578,37.785024662,-122.41197189,2020-11
579,37.799443802,-122.405671314,2023-11
580,37.777790309,-122.412834332,2020-04
581,37.71167768,-122.447513462,2024-04
582,37.785890332,-122.411725718,2021-02
583,37.779813722,-122.403860418,2024-08
584,37.78832457,-122.393911345,2024-03
585,37.777486533,-122.397691886,2024-12
586,37.777887965,-122.413601564,2021-03
587,37.751283573,-122.408512518,2021-02
588,37.803059304,-122.429881854,2020-12
589,37.799944042,-122.409564938,2020-04
590,37.744465043,-122.43884985,2020-09
591,37.781145862,-122.409026046,2022-03
592,37.78832457,-122.393911345,2023-06
593,37.787065467,-122.413159816,2023-07
594,37.759054241,-122.411163913,2024-10
595,37.72941909,-122.404411916,2023-05
596,37.758676483,-122.417413346,2020-01
597,37.787277155,-122.416825198,2023-03
598,37.78832457,-122.393911345,2023-05
599,37.777912928,-122.425714837,2024-01
600,37.777083316,-122.416979514,2022-08
601,37.770679319,-122.449598813,2021-10
