TC02 - Historical Tent Counts,,,,,,,,,,,
Observed,Location,Tents,Structures,Passenger Vehicles,Other Vehicles,District,Neighborhood,Supervisor,Latitude,Longitude,
12/10/25,"901 OFARRELL ST, SAN FRANCISCO, CA 94109",1,0,0,0,NORTHERN,Tenderloin,6,37.78487380875778,-122.41975858435316,
12/10/25,"118 TURK ST, SAN FRANCISCO, CA 94102",1,0,0,0,TENDERLOIN,Tenderloin,5,37.78328479022957,-122.41127590229654,
12/10/25,"508 EDDY ST, SAN FRANCISCO, CA 94109",2,0,0,0,TENDERLOIN,Tenderloin,6,37.783488134981894,-122.41614775138525,
12/10/25,"411 DE HARO ST, SAN FRANCISCO, CA 94107",0,0,0,1,SOUTHERN,Potrero Hill,10,37.764221073169615,-122.40079455077648,
12/10/25,"1600 INDIANA ST, SAN FRANCISCO, CA 94124",0,3,1,5,BAYVIEW,Central Waterfront,10,37.74996823794546,-122.39054029079223,
12/10/25,"INTERSECTION PHELPS ST, GALVEZ AVE, SAN FRANCISCO, CA 94124",0,0,0,3,BAYVIEW,Bayview,10,37.74174344158683,-122.38953278955438,
12/10/25,"398 LATHROP AVE, SAN FRANCISCO, CA 94134",0,0,0,1,BAYVIEW,Little Hollywood,10,37.71047655239049,-122.39874136074482,
12/10/25,"710 PHELPS ST, SAN FRANCISCO, CA 94124",0,0,0,2,BAYVIEW,Bayview,10,37.74109305267809,-122.39027554317758,
12/10/25,"2 CAROLINA ST, SAN FRANCISCO, CA 94103",1,1,3,1,SOUTHERN,Showplace Square,10,37.76866368072389,-122.40099135786295,
12/10/25,"INTERSECTION NUEVA AVE, LATHROP AVE, SAN FRANCISCO, CA 94134",0,0,0,1,BAYVIEW,Little Hollywood,10,37.71031346025286,-122.3976936226413,
12/10/25,"896 PHELPS ST, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bayview,10,37.74000931803318,-122.39123577507175,
12/10/25,"78 CLINTON PARK, SAN FRANCISCO, CA 94103",0,1,0,0,MISSION,Mission,9,37.76929905475861,-122.42206978031457,
12/10/25,"1016 WEBSTER ST, SAN FRANCISCO, CA 94115",0,0,0,2,NORTHERN,Western Addition,5,37.779987385603214,-122.42997363209724,
12/10/25,"220 BATTERY ST, SAN FRANCISCO, CA 94111",0,2,0,0,CENTRAL,Financial District,3,37.793734945190444,-122.39971864968538,
12/10/25,"574 VALENCIA ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission Dolores,9,37.763671210022586,-122.42179428706663,
12/10/25,"480 23RD ST, SAN FRANCISCO, CA 94107",0,1,0,0,BAYVIEW,Central Waterfront,10,37.75555409712587,-122.38554548020583,
12/10/25,"301 CHINA BASIN ST, SAN FRANCISCO, CA 94158",1,1,0,0,SOUTHERN,Mission Bay,6,37.77214002980114,-122.38708242774008,
12/10/25,"214 BATTERY ST, SAN FRANCISCO, CA 94111",0,1,0,0,CENTRAL,Financial District,3,37.79346814753027,-122.39990975707771,
12/10/25,"859 IOWA ST, SAN FRANCISCO, CA 94107",0,0,0,2,BAYVIEW,Potrero Hill,10,37.75578000953128,-122.39188545838766,
12/10/25,"1532 FAIRFAX AVE, SAN FRANCISCO, CA 94124",0,0,1,0,BAYVIEW,Bayview,10,37.742063772192374,-122.38848782967982,
12/10/25,"3616 20TH ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission Dolores,9,37.75851113020935,-122.42173288459433,
12/10/25,"1655 HUDSON AVE, SAN FRANCISCO, CA 94124",0,0,1,1,BAYVIEW,Bayview,10,37.74075081319306,-122.38951844361792,
12/10/25,"485 CIRCULAR AVE, SAN FRANCISCO, CA 94131",0,0,0,2,INGLESIDE,Mission Terrace,7,37.728319777948954,-122.44386814534664,
12/10/25,"1657 INNES AVE, SAN FRANCISCO, CA 94124",0,0,1,5,BAYVIEW,Bayview,10,37.740000091680294,-122.38999530038942,
12/10/25,"285 KING ST, SAN FRANCISCO, CA 94107",2,2,0,0,SOUTHERN,Mission Bay,6,37.77652836577183,-122.39350900053978,
12/10/25,"1101 NEWHALL ST, SAN FRANCISCO, CA 94124",0,0,0,1,BAYVIEW,Bayview,10,37.73741327874294,-122.39040317189678,
12/10/25,"INTERSECTION WELSH ST, 5TH ST, SAN FRANCISCO, CA 94107",1,1,0,0,SOUTHERN,South of Market,6,37.77751020007848,-122.39990171045064,
12/10/25,"INTERSECTION CONGO ST, CIRCULAR AVE, SAN FRANCISCO, CA 94131",0,0,2,3,INGLESIDE,Sunnyside,7,37.72938790315419,-122.4420566484332,
12/10/25,"543 COLE ST, SAN FRANCISCO, CA 94117",0,1,0,0,PARK,Haight Ashbury,5,37.77004952247761,-122.45037619024517,
12/10/25,"INTERSECTION STILLMAN ST, 3RD ST, SAN FRANCISCO, CA 94107",1,1,0,0,SOUTHERN,South of Market,6,37.78180759235962,-122.39639706909655,
12/10/25,"599 SHRADER ST, SAN FRANCISCO, CA 94117",0,0,0,1,PARK,Haight Ashbury,5,37.769487397025614,-122.45184838771821,
12/10/25,"168 SOUTH PARK, SAN FRANCISCO, CA 94107",1,0,0,0,SOUTHERN,South Beach,6,37.78117029985403,-122.39469822496174,
12/10/25,"3193 23RD ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.75390579184854,-122.41615455378977,
12/10/25,"1584 SOUTH VAN NESS AVE, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.748462402100195,-122.41594613447184,
12/10/25,"INTERSECTION RIVERA ST, 47TH AVE, SAN FRANCISCO, CA 94116",0,0,0,1,TARAVAL,Outer Sunset,4,37.745452471858414,-122.50593848526476,
12/10/25,"3843 QUINTARA ST, SAN FRANCISCO, CA 94116",0,0,0,1,TARAVAL,Outer Sunset,4,37.74729420721332,-122.5065631046891,
12/10/25,"3724 QUINTARA ST, SAN FRANCISCO, CA 94116",0,0,0,2,TARAVAL,Outer Sunset,4,37.74737453520615,-122.50551301985979,
12/10/25,"443 MAIN ST, SAN FRANCISCO, CA 94105",1,1,0,0,SOUTHERN,Rincon Hill,6,37.78762246703423,-122.38961912691593,
12/10/25,"3274 CESAR CHAVEZ ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.74831070483397,-122.4154893360334,
12/10/25,"4081 17TH ST, SAN FRANCISCO, CA 94114",0,1,0,0,PARK,Castro,8,37.76210754716818,-122.43686288595201,
12/10/25,"1985 GREAT HWY, SAN FRANCISCO, CA 94116",0,0,1,0,TARAVAL,Outer Sunset,4,37.74940524031748,-122.50816572457553,
12/10/25,"290 JUDSON AVE, SAN FRANCISCO, CA 94112",0,0,1,0,INGLESIDE,Sunnyside,7,37.728383155222,-122.44856469333172,
12/10/25,"3374 16TH ST, SAN FRANCISCO, CA 94114",1,0,0,0,MISSION,Mission Dolores,8,37.76455582812892,-122.42820167088153,
12/10/25,"45 THE EMBARCADERO, SAN FRANCISCO, CA 94105",2,2,0,0,SOUTHERN,Rincon Hill,6,37.788357209935576,-122.38811675459146,
12/10/25,"INTERSECTION MISSION ST, 26TH ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.74914433360435,-122.41821675680646,
12/10/25,"1686 GREAT HWY, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.754851814632076,-122.50867165625094,
12/10/25,"379 JUDSON AVE, SAN FRANCISCO, CA 94112",0,0,0,1,INGLESIDE,Sunnyside,7,37.72833118055857,-122.4505867436528,
12/10/25,"1543 GREAT HWY, SAN FRANCISCO, CA 94122",0,0,1,0,TARAVAL,Outer Sunset,4,37.757648906548496,-122.50895161181688,
12/10/25,"1468 GREAT HWY, SAN FRANCISCO, CA 94122",0,0,4,0,TARAVAL,Outer Sunset,4,37.759015339744856,-122.50915579497814,
12/10/25,"1337 GREAT HWY, SAN FRANCISCO, CA 94122",0,0,2,0,TARAVAL,Outer Sunset,4,37.7614183984704,-122.50958930701019,
12/10/25,"2675 MISSION ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.75418215318741,-122.41867021247164,
12/10/25,"1578 CARROLL AVE, SAN FRANCISCO, CA 94124",0,0,0,16,BAYVIEW,Bret Harte,10,37.7247921811483,-122.39289107519659,
12/10/25,"1249 GREAT HWY, SAN FRANCISCO, CA 94122",0,0,2,0,TARAVAL,Outer Sunset,4,37.76305511614369,-122.50975996255875,
12/10/25,"1351 LA PLAYA, SAN FRANCISCO, CA 94122",0,0,0,1,TARAVAL,Outer Sunset,4,37.76124107417073,-122.50928319990633,
12/10/25,"2610 MISSION ST, SAN FRANCISCO, CA 94110",0,1,0,0,MISSION,Mission,9,37.755215028046514,-122.41889596499684,
